Dataset,Model_Name,Results,confusion_matrix,Accuracy,Precision,Recall,Specificity,FPR,FNR,PPV,NPV,F1_Score,ROC_AUC,Threshold,Residuals
Imbalanced,LR,Train Set,"[[198993     27]
 [   120    224]]",0.9992626552436749,0.999212756889467,0.9992626552436749,0.9998643352426891,0.00013566475731082304,0.3488372093023256,0.8924302788844621,0.999397327145892,0.999205116939827,0.9870003131624027,0.003716803531589175,"True     199217
False       147
Name: Class, dtype: int64"
Imbalanced,LR,Test Set,"[[85210    85]
 [   35   113]]",0.9985955549313578,0.9988465306391555,0.9985955549313578,0.9990034585849112,0.0009965414150888093,0.23648648648648649,0.5707070707070707,0.9995894187342366,0.9986968262941406,0.9691109392996959,0.006739097873251713,"True     85323
False      120
Name: Class, dtype: int64"
Imbalanced,KNN,Train Set,"[[199012      8]
 [    57    287]]",0.9996739632029855,0.9996673683150005,0.9996739632029855,0.9999598030348709,4.0196965129132754e-05,0.16569767441860464,0.9728813559322034,0.9997136671204456,0.9996614826402352,0.9999569109567111,0.3333333333333333,"True     199299
False        65
Name: Class, dtype: int64"
Imbalanced,KNN,Test Set,"[[85281    14]
 [   39   109]]",0.9993797034280163,0.9993465339362091,0.9993797034280163,0.9998358637669266,0.00016413623307345098,0.2635135135135135,0.8861788617886179,0.9995428973277074,0.9993511374081546,0.9018899431702058,0.3333333333333333,"True     85390
False       53
Name: Class, dtype: int64"
Imbalanced,SVM,Train Set,"[[199020      0]
 [    16    328]]",0.9999197447884272,0.9999197512399405,0.9999197447884272,1.0,0.0,0.046511627906976744,1.0,0.9999196125324062,0.9999187909821848,0.9999653096685386,0.007408741249582796,"True     199348
False        16
Name: Class, dtype: int64"
Imbalanced,SVM,Test Set,"[[85289     6]
 [  109    39]]",0.9986540734758845,0.998494881189164,0.9986540734758845,0.9999296559001114,7.034409988862185e-05,0.7364864864864865,0.8666666666666667,0.9987236235040633,0.9982953333602217,0.9471058314308212,0.0058388110683724355,"True     85328
False      115
Name: Class, dtype: int64"
Imbalanced,DT,Train Set,"[[198942     78]
 [    97    247]]",0.9991222086234225,0.9990993823332792,0.9991222086234225,0.999608079589991,0.0003919204100090443,0.2819767441860465,0.76,0.9995126583232432,0.9991097646726573,0.9867623959143991,0.002188183807439825,"True     199189
False       175
Name: Class, dtype: int64"
Imbalanced,DT,Test Set,"[[85257    38]
 [   51    97]]",0.9989583699074237,0.9989156339615797,0.9989583699074237,0.9995544873673721,0.00044551263262793833,0.34459459459459457,0.7185185185185186,0.9994021662681108,0.9989344852276031,0.9441171181733349,0.02262443438914027,"True     85354
False       89
Name: Class, dtype: int64"
Imbalanced,RF,Train Set,"[[198991     29]
 [   144    200]]",0.999132240524869,0.999059608760299,0.999132240524869,0.9998542860014069,0.00014571399859310621,0.4186046511627907,0.8733624454148472,0.9992768724734477,0.9990452870129237,0.981097902980418,0.0007773853665203384,"True     199191
False       173
Name: Class, dtype: int64"
Imbalanced,RF,Test Set,"[[85279    16]
 [   57    91]]",0.9991456292499094,0.9990741961862463,0.9991456292499094,0.9998124157336303,0.00018758426636965824,0.38513513513513514,0.8504672897196262,0.9993320521233712,0.999077047188612,0.9498609753431255,0.027936135953728663,"True     85370
False       73
Name: Class, dtype: int64"
Imbalanced,XGB,Train Set,"[[199015      5]
 [    47    297]]",0.9997391705623884,0.9997357323903514,0.9997391705623884,0.9999748768967943,2.512310320570797e-05,0.13662790697674418,0.9834437086092715,0.9997638926565593,0.9997307053463848,0.9988869296763443,0.002111943671479821,"True     199312
False        52
Name: Class, dtype: int64"
Imbalanced,XGB,Test Set,"[[85276    19]
 [   31   117]]",0.9994148145547324,0.9993952446675849,0.9994148145547324,0.999777243683686,0.00022275631631396916,0.20945945945945946,0.8602941176470589,0.9996366066090707,0.9994024720626691,0.9642053493202446,0.0008966133464127779,"True     85393
False       50
Name: Class, dtype: int64"
