Dataset,Model_Name,Results,confusion_matrix,Accuracy,Precision,Recall,Specificity,FPR,FNR,PPV,NPV,F1_Score,ROC_AUC,Threshold,Residuals
ADASYN Balanced,LR,Train Set,"[[183433  15587]
 [ 20934 178101]]",0.9082513722977981,0.908546337929554,0.9082513722977981,0.921681238066526,0.07831876193347402,0.1051774813475017,0.919525215810995,0.8975666325776667,0.9082348606024385,0.9716563230192452,0.46265001489919183,"Class
True     361534
False     36521
Name: count, dtype: int64"
ADASYN Balanced,LR,Test Set,"[[71620 13675]
 [   13   135]]",0.8397996325035404,0.9981036174959418,0.8397996325035404,0.8396740723371827,0.16032592766281728,0.08783783783783784,0.009775524981897175,0.9998185193974845,0.9112277290059998,0.9601990627123989,0.9912900084540467,"Class
True     71755
False    13688
Name: count, dtype: int64"
ADASYN Balanced,KNN,Train Set,"[[198906    114]
 [     0 199035]]",0.9997136074160606,0.9997137713574039,0.9997136074160606,0.9994271932469099,0.0005728067530901417,0.0,0.9994275642860371,1.0,0.9997136073894798,1.0,1.0,"Class
True     397941
False       114
Name: count, dtype: int64"
ADASYN Balanced,KNN,Test Set,"[[85133   162]
 [   29   119]]",0.9977645915990777,0.9986614569529481,0.9977645915990777,0.9981007093030072,0.0018992906969927897,0.19594594594594594,0.4234875444839858,0.9996594725346986,0.9981102338601591,0.9080538449229463,0.3333333333333333,"Class
True     85252
False      191
Name: count, dtype: int64"
ADASYN Balanced,DT,Train Set,"[[177416  21604]
 [  5635 193400]]",0.9315697579480222,0.9343658757036338,0.9315697579480222,0.891448095668777,0.108551904331223,0.028311603486823926,0.8995181484995628,0.9692162293568459,0.9314593434907936,0.9740764407465095,0.5706732463870285,"Class
True     370816
False     27239
Name: count, dtype: int64"
ADASYN Balanced,DT,Test Set,"[[75703  9592]
 [   19   129]]",0.8875156537106609,0.9980403539093599,0.8875156537106609,0.8875432323113899,0.11245676768861011,0.12837837837837837,0.013270239687274971,0.9997490821689865,0.93872717499723,0.9275433194493514,0.8539670371789958,"Class
True     75832
False     9611
Name: count, dtype: int64"
ADASYN Balanced,RF,Train Set,"[[192224   6796]
 [ 15518 183517]]",0.9439424200173343,0.9447967255118492,0.9439424200173343,0.9658526781228017,0.034147321877198274,0.07796618685155877,0.9642904058051736,0.9253015759932994,0.9439155393126389,0.9883208325083612,0.40433328145344194,"Class
True     375741
False     22314
Name: count, dtype: int64"
ADASYN Balanced,RF,Test Set,"[[82459  2836]
 [   18   130]]",0.9665976147841251,0.9981259066647634,0.9665976147841251,0.966750688785978,0.03324931121402192,0.12162162162162163,0.04383007417397168,0.9997817573384095,0.9814307590061909,0.9666356666767008,0.4946849644614397,"Class
True     82589
False     2854
Name: count, dtype: int64"
ADASYN Balanced,XGB,Train Set,"[[199020      0]
 [     0 199035]]",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9059906005859375,"Class
True    398055
Name: count, dtype: int64"
ADASYN Balanced,XGB,Test Set,"[[84869   426]
 [   25   123]]",0.9947216272836862,0.998361953366638,0.9947216272836862,0.9950055689079078,0.0049944310920921504,0.16891891891891891,0.22404371584699453,0.9997055151129643,0.9962337929393752,0.9685342048185709,0.014746242202818394,"Class
True     84992
False      451
Name: count, dtype: int64"
