Dataset,Model_Name,Results,confusion_matrix,Accuracy,Precision,Recall,Specificity,FPR,FNR,PPV,NPV,F1_Score,ROC_AUC,Threshold,Residuals
SMOTE Balanced,LR,Train Set,"[[194234   4786]
 [ 12075 186945]]",0.9576399356848558,0.9582546159995681,0.9576399356848558,0.9759521656114963,0.024047834388503667,0.06067229424178475,0.975037943785825,0.941471288213311,0.9576257259905208,0.9923416658140818,0.39778182107248333,"Class
True     381179
False     16861
Name: count, dtype: int64"
SMOTE Balanced,LR,Test Set,"[[78717  6578]
 [   16   132]]",0.9228257434781082,0.998099059674788,0.9228257434781082,0.9228794184887743,0.07712058151122575,0.10810810810810811,0.019672131147540985,0.9997967815274409,0.9582037100715032,0.9605355736767308,0.9339680322988451,"Class
True     78849
False     6594
Name: count, dtype: int64"
SMOTE Balanced,KNN,Train Set,"[[198907    113]
 [     0 199020]]",0.9997161089337755,0.9997162700305825,0.9997161089337755,0.999432217867551,0.0005677821324490001,0.0,0.9994325400611651,1.0,0.9997161089108955,1.0,1.0,"Class
True     397927
False       113
Name: count, dtype: int64"
SMOTE Balanced,KNN,Test Set,"[[85133   162]
 [   29   119]]",0.9977645915990777,0.9986614569529481,0.9977645915990777,0.9981007093030072,0.0018992906969927897,0.19594594594594594,0.4234875444839858,0.9996594725346986,0.9981102338601591,0.908057409657738,0.3333333333333333,"Class
True     85252
False      191
Name: count, dtype: int64"
SMOTE Balanced,DT,Train Set,"[[192553   6467]
 [  8088 190932]]",0.963433323284092,0.9634640692864659,0.963433323284092,0.9675057783137373,0.03249422168626269,0.04063913174555321,0.967238942446517,0.9596891961264148,0.9634327168197241,0.9915029194378956,0.5361216730038023,"Class
True     383485
False     14555
Name: count, dtype: int64"
SMOTE Balanced,DT,Test Set,"[[82515  2780]
 [   24   124]]",0.9671828002293927,0.9980515453881766,0.9671828002293927,0.9674072337182719,0.03259276628172812,0.16216216216216217,0.04269972451790634,0.999709228364773,0.9817305570728916,0.9407849229145906,0.12754880694143167,"Class
True     82639
False     2804
Name: count, dtype: int64"
SMOTE Balanced,RF,Train Set,"[[198042    978]
 [ 19237 179783]]",0.9492136468696614,0.9530268016100404,0.9492136468696614,0.9950859210129636,0.004914078987036479,0.09665862727364084,0.9945895408854786,0.9114640623346021,0.9491065535443233,0.9940037555365883,0.30173262512828947,"Class
True     377825
False     20215
Name: count, dtype: int64"
SMOTE Balanced,RF,Test Set,"[[84616   679]
 [   24   124]]",0.9917722926395375,0.9982522683964778,0.9917722926395375,0.9920393926959377,0.007960607304062372,0.16216216216216217,0.15442092154420922,0.9997164461247637,0.9945898474555057,0.9621305944551738,0.3124520227128366,"Class
True     84740
False      703
Name: count, dtype: int64"
SMOTE Balanced,XGB,Train Set,"[[199020      0]
 [     0 199020]]",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8489493131637573,"Class
True    398040
Name: count, dtype: int64"
SMOTE Balanced,XGB,Test Set,"[[85073   222]
 [   27   121]]",0.9970857764825674,0.9985621764702354,0.9970857764825674,0.997397268304121,0.002602731695879008,0.18243243243243243,0.35276967930029157,0.9996827262044653,0.9976627989702033,0.9689647851732381,0.02223018929362297,"Class
True     85194
False      249
Name: count, dtype: int64"
